PM Score
1s,"Inequality, Poverty, EITC","189.1s - Inequality, Poverty, EITC: 

Vote would increase the Earned Income Tax Credit and the personal tax exemption. The EITC is an effective means of providing assistance to low-income households. 

(Roll Call #21, Bill S3, Amdt 6, 5/19/2015, Progressive Position: Yes)

.",21,S. 3,6,5/19/2015,Expand Earned Income Tax Credit and Increase Personal Exemptions,"Inequality, Poverty, EITC",1s,Yes +,29,11
2s,"Labor, Earned Sick Time","189.2s - Labor, Earned Sick Time: 

Vote was to delay the implementation of Earned Sick Time for workers, a law which was passed by the voters on the 2014 ballot.

(Roll Call #23, Bill S3, Amdt 15, 5/19/2015, Progressive Position: No)

.",23,S. 3,15,5/19/2015,Earned Sick Time Implementation Delay,"Labor, Earned Sick Time",2s,No +,10,28
3s,"Revenue, Estate Tax","189.3s - Revenue, Estate Tax: 

Vote would abolish the estate tax, one of the most progressive forms of taxation, and a source of revenue for the Commonwealth. 

(Roll Call #24, Bill S3, Amdt 12, 5/19/2015, Progressive Position: No)

.",24,S.3,12,5/19/2015,Abolishing the Death Tax,"Revenue, Estate Tax",3s,No +,7,31
4s,"Good Gov't., Corporate Interests, Olympics","189.4s - Good Government, Corporate Interests, Olympics: 

Vote would have explicitly prohibited state funding for the proposed Boston 2024 Olympic Games. Public monies should not be used to fund private events that primarily benefit corporations. 

(Roll Call #44, Bill S3, Amdt 63, 5/21/2015, Progressive Position: Yes)

.",44,S.3,63,5/21/2015,Providing for a Private Sector-Funded Olympics,"Good Gov't., Corporate Interests, Olympics",4s,Yes +,17,22
5s,"Revenue, Corporate Tax Loopholes, Healthcare","189.5s - Revenue, Corporate Tax Loopholes, Healthcare: 

Vote was on applying the same tax to flavored cigars as is currently imposed on cigarettes, closing a corporate loophole. 

(Roll Call #45, Bill S3, Amdt 836, 5/21/2015, Progressive Position: Yes)

.",45,S.3,836,5/21/2015,Reducing youth consumption of flavored cigars,"Revenue, Corporate Tax Loopholes, Healthcare",5s,Yes +,26,13
6s,"Transportation, Privatization, Pacheco Law","189.6s - Transportation, Privatization, ""Pacheco Law"": 

Vote on the Conference Committee report of the FY16 state budget, which included a suspension of the Taxpayers Protection Act (aka ""Pacheco law""), which requires an audit of the privatizaton of government services, for the MBTA. This vote was an opportunity for Senators to express their opposition to the privatization of the MBTA.

(Roll Call #49, Bill H3650, Conf. Committee Report, 7/8/2015, Progressive Position: No)

.",49,H. 3650,,7/8/2015,Conference Committee Report to FY16 State Budget,"Transportation, Privatization, Pacheco Law",6s,No +,31,5
7s,"Revenue, Sales Tax Holiday","189.7s - Revenue, Sales Tax Holiday: 

Vote would establish a two-day sales tax holiday during Aug. 2015, reducing state revenue by approximately $50 million, with dubious economic benefits. 

(Roll Call #90, Bill H3659, 7/29/2015; Progressive Position: No)

.",90,H. 3659,,7/29/2015,An Act establishing a sales tax holiday in 2015,"Revenue, Sales Tax Holiday",7s,No +,27,11
8s,"Housing, Foreclosure, Banks, Poverty","189.8s - Housing, Foreclosure, Banks, Poverty: 

Vote was to allow foreclosed homeowners to live in foreclosed homes, paying fair market rent to the bank, to ensure the family has a place to live and the property is not vacant, protecting area property values. 

(Roll Call #160, Bill S1981, Amdt 3, 9/17/2015, Progressive Position: Yes)

.",160,S. 1981,3,9/17/15,An Act clearing titles to foreclosed properties,"Housing, Foreclosure, Banks, Poverty",8s,Yes +,15,23
9s,"Housing, Foreclosure, Banks","189.9s - Housing, Foreclosure, Banks: 

Vote was to allow banks to clear titles of illegally foreclosed homes, and limit wrongly foreclosed homeowners' ability to sue banks that illegally foreclosed their homes. Bill benefits big banks and title insurance companies, at the expense of often financially struggling former homeowners. 

(Roll Call #161, Bill S882, 9/17/2015, Progressive Position: No)

.",161,S. 882,,9/17/15,An Act clearing titles to foreclosed properties,"Housing, Foreclosure, Banks",9s,No +,31,7
10s,"Criminal Justice, Jobs, War on Drugs","189.10s - Criminal Justice, Jobs, War on Drugs: 

This vote repeals the law that automatically suspends drivers' licenses from persons convicted of drug crimes. It also removes the $500 fine for license reinstatement. Loss of driving privileges creates barriers to employment and successful re-entry into the community. Fines and fees disproportionately impact low-income persons and communities of color.

(Roll Call #164, Bill S2021, 9/24/2015, Progressive Position: Yes) 

.",164,S. 2021,,9/24/2015,An Act relative to motor vehicle license suspension,"Criminal Justice, Jobs, War on Drugs",10s,Yes +,38,0
11s,"Labor, Wage Theft","189.11s - Labor, Wage Theft: 

This bill allows the Attorney General to represent workers affected by wage theft, who would otherwise be unlikely to afford legal counsel. 

(Roll Call #190, Bill S967, 10/27/2015, Progressive Position: Yes)

.",190,S. 967,,10/27/2015,An Act relative to enhanced enforcement of civil penalties,"Labor, Wage Theft",11s,Yes +,27,11
12s,"Education, Reproductive Rights","189.12s - Education, Reproductive Rights: 

Vote requires school districts, students, and educators to each opt-in to sex education, acting as a religious exemption for the educator. Students under the original Senate bill already have the right to opt out. Amendment, if passed, would have reduced the number of students receiving comprehensive health education. 

(Roll Call #211, Bill S2048, Amdt 4, 11/18/2015, Progressive Position: No)

.",211,S. 2048,4,11/18/2015,Opt in,"Education, Reproductive Rights",12s,No +,9,29
13s,"Education, Reproductive Rights","189.13s - Education, Reproductive Rights: 

Vote requires any sexual health education by school districts, public schools and charter schools to be (1) medically accurate and (2) age-appropriate, as well as mandates notification to parents/guardians, with the option to withdraw the child.

(Roll Call #212, Bill S2048, 11/18/2015, Progressive Position: Yes)",212,S. 2048,,11/18/2015,An Act relative to healthy youth,"Education, Reproductive Rights",13s,Yes +,32,6
14s,Climate Change,"189.14s - Climate Change

Vote was on requiring ""cost-effectiveness"" to be considered in the development of a plan to meet Global Warming Solutions Act emissions targets for 2030 and 2040. At best, the amendment would duplicate existing language in the bill. At worst, it would weaken climate mitigation plans. 

(Roll Call #232, Bill S.2092, Amdt. 3, 1/28/16. Progressive Position: NO )
.",232,S.2092,3,1/28/2016,Cost Effectiveness,Climate Change,14s,No +,10,26
15s,Education,"189.15s - Education 

Vote was on rapidly expanding charter schools in the state by authorizing up to 12 additional Commmonwealth charter schools per year. Charter schools already siphon $450 million from public schools each year. The proposal offered no funding source for the authorized schools nor any new accountability measures for charter schools. 

(Roll Call #269, Bill S.2203, Amdt. 23, 4/7/16. Progressive Position: NO )
.",269,S.2203,23,4/7/2016,"Expanding Educational Opportunity
",Education,15s,No +,5,30
16s,Education,"189.16s - Education

Vote was on giving local school committees the power to vote on whether a charter school in their district should receive local education funding. Currently, the state can authorize charter schools against the wishes of a school district and the local community, siphoning away money from the district. Under the amendment, if there is no local approval, the state would provide the funding. 
(Roll Call #272, Bill S.2203, Amdt. 1, 4/7/16. Progressive Position: YES )
.",272,S.2203,1,4/7/2016,"Local Control
",Education,16s,Yes +,24,10
17s,LGBTQ Rights,"189.17s - LGBTQ Rights 

Vote was an attempt to sow confusion around the transgender accommodations law and its enforcement by redundantly criminalizing acts of trespassing, attempting to prey upon toxic stereotypes about transgender persons, with no relation to reality.

(Roll Call #296, Bill S.735, Amdt. 7, 5/12/16. Progressive Position:NO )
.",296,S.735,7,5/12/2016,"Improper Use Penalties II
",LGBTQ Rights,17s,No +,11,26
18s,LGBTQ Rights,"189.18s - LGBTQ Rights

Vote was on allowing for discrimination against transgender individuals in multiple-capacity showers and locker rooms, continuing toxic stereotypes that have no basis in reality.

(Roll Call #297, Bill S.735, Amdt. 10.1, 5/12/16. Progressive Position: NO)",297,S.735,10.1,5/12/2016,Exemption for multiple capacity locker rooms and showers,LGBTQ Rights,18s,No +,6,31
19s,LGBTQ Rights,"189.19s -  LGBTQ Rights

Vote was on guaranteeing equal access to public places for all regardless of gender identity.

(Roll Call #298, S.735, date. 5-12-16, Progressive Position: YES)
.",298,S.735,,5/12/2016,An Act relative to transgender anti-discrimination,LGBTQ Rights,19s,Yes +,33,4
20s,"Taxation, Revenue, Education, Transportation","189.20s - Taxation, Revenue, Education, Transportation 

Vote on the the Fair Share Amendment, which would create a surtax on income above $1 million, with the revenue earmarked for education and transportation spending. A progressive income tax would make sure that millionaires (and billionaires) are contributing their fair share to much-needed investments. 

(Roll Call #303, Bill H3933, 5/18/16. Progressive Position: YES)
.",303,H.3933,,5/18/2016,"Fair Share amendment 
","Taxation, Revenue, Education, Transportation",20s,Yes +,33,7
